fecha,provincia,termino_busqueda,categoria,volumen_busquedas,evento_aumento
2023-01-01,Mendoza,aumento combustible fecha,Precios,2224,0
2023-01-01,Córdoba,descuento nafta galicia,Descuentos,906,0
2023-01-01,CABA,cuanto cuesta llenar el tanque,Precios,2658,0
2023-01-01,Mendoza,tarjeta sube saldo,Alternativas,1715,0
2023-01-02,Buenos Aires,banco nacion descuento combustible,Descuentos,999,0
2023-01-02,Buenos Aires,ypf cerca de mi,Estaciones,2982,0
2023-01-02,Buenos Aires,precio gasoil axion,Precios,1396,0
2023-01-02,Misiones,bbva descuento ypf,Descuentos,2342,0
2023-01-02,Santa Fe,promociones cuenta dni nafta,Descuentos,1054,0
2023-01-03,Tucumán,bbva descuento ypf,Descuentos,1397,0
2023-01-03,Santa Fe,descuento nafta galicia,Descuentos,2144,0
2023-01-03,Buenos Aires,equipo gnc 5ta generacion precio,Alternativas,2916,0
2023-01-04,CABA,aumento nafta hoy,Precios,2836,0
2023-01-04,Tucumán,promociones cuenta dni nafta,Descuentos,2481,0
2023-01-04,Neuquén,estacion de servicio con gnc cerca,Estaciones,1516,0
2023-01-05,CABA,promociones cuenta dni nafta,Descuentos,1996,0
2023-01-05,CABA,descuento nafta personal pay,Descuentos,1232,0
2023-01-05,Tucumán,precio nafta hoy argentina,Precios,1020,0
2023-01-06,CABA,descuento nafta galicia,Descuentos,2093,0
2023-01-06,Santa Fe,horarios colectivo urbano,Alternativas,2721,0
2023-01-06,Santa Fe,convertir auto a gnc precio,Alternativas,2575,0
2023-01-06,Buenos Aires,banco nacion descuento combustible,Descuentos,3150,0
2023-01-06,Córdoba,aplicacion ypf descuentos,Descuentos,1571,0
2023-01-07,Santa Fe,tarjeta sube saldo,Alternativas,1156,0
2023-01-07,CABA,ypf cerca de mi,Estaciones,2766,0
2023-01-07,Buenos Aires,convertir auto a gnc precio,Alternativas,1455,0
2023-01-07,Santa Fe,precio nafta hoy argentina,Precios,1382,0
2023-01-08,Buenos Aires,cuanto cuesta llenar el tanque,Precios,2204,0
2023-01-08,Neuquén,convertir auto a gnc precio,Alternativas,1512,0
2023-01-09,CABA,aumento nafta hoy,Precios,3400,0
2023-01-09,CABA,precio nafta super ypf,Precios,2581,0
2023-01-09,Buenos Aires,estaciones de servicio mas baratas,Estaciones,1471,0
2023-01-10,Buenos Aires,estaciones de servicio mas baratas,Estaciones,1034,0
2023-01-10,Buenos Aires,descuento nafta galicia,Descuentos,3047,0
2023-01-10,Córdoba,estaciones de servicio mas baratas,Estaciones,2810,0
2023-01-10,Entre Ríos,promociones cuenta dni nafta,Descuentos,1910,0
2023-01-11,Buenos Aires,horarios colectivo urbano,Alternativas,913,0
2023-01-11,CABA,aumento combustible fecha,Precios,2430,0
2023-01-12,Buenos Aires,puntos serviclub canje,Descuentos,2841,0
2023-01-12,Santa Fe,horarios colectivo urbano,Alternativas,1031,0
2023-01-12,CABA,shell abierta ahora,Estaciones,2495,0
2023-01-13,Buenos Aires,puntos serviclub canje,Descuentos,7291,1
2023-01-13,Santa Fe,cuanto cuesta llenar el tanque,Precios,3900,1
2023-01-13,Buenos Aires,tarjeta sube saldo,Alternativas,7967,1
2023-01-13,CABA,precio nafta hoy argentina,Precios,10651,1
2023-01-13,Buenos Aires,aumento combustible fecha,Precios,6119,1
2023-01-13,Buenos Aires,monopatín eléctrico precio,Alternativas,9877,1
2023-01-13,Salta,precio nafta super ypf,Precios,6670,1
2023-01-13,Santa Fe,estacion de servicio con gnc cerca,Estaciones,7879,1
2023-01-14,Buenos Aires,precio gasoil axion,Precios,10639,1
2023-01-14,Buenos Aires,cuanto cuesta llenar el tanque,Precios,6848,1
2023-01-14,Buenos Aires,banco nacion descuento combustible,Descuentos,9397,1
2023-01-14,Buenos Aires,descuentos nafta modo,Descuentos,10371,1
2023-01-14,Mendoza,descuento nafta galicia,Descuentos,4718,1
2023-01-14,Santa Fe,descuento nafta personal pay,Descuentos,4781,1
2023-01-14,Buenos Aires,precio gasoil axion,Precios,9336,1
2023-01-14,Neuquén,cuanto sube la nafta,Precios,8393,1
2023-01-14,Santa Fe,descuentos nafta modo,Descuentos,8418,1
2023-01-14,CABA,puntos serviclub canje,Descuentos,8030,1
2023-01-14,Misiones,banco nacion descuento combustible,Descuentos,6944,1
2023-01-15,CABA,aumento combustible fecha,Precios,12514,1
2023-01-15,Entre Ríos,convertir auto a gnc precio,Alternativas,6190,1
2023-01-15,CABA,precio nafta super ypf,Precios,12550,1
2023-01-15,CABA,precio gasoil axion,Precios,9715,1
2023-01-15,Buenos Aires,precio nafta hoy argentina,Precios,9546,1
2023-01-15,Córdoba,estaciones de servicio mas baratas,Estaciones,14481,1
2023-01-15,Santa Fe,promociones cuenta dni nafta,Descuentos,9545,1
2023-01-15,Buenos Aires,descuento nafta personal pay,Descuentos,13968,1
2023-01-15,Santa Fe,aumento combustible fecha,Precios,13659,1
2023-01-15,Buenos Aires,estacion de servicio con gnc cerca,Estaciones,16370,1
2023-01-15,Buenos Aires,descuento nafta galicia,Descuentos,10376,1
2023-01-15,Salta,precio litro infinia shell,Precios,9854,1
2023-01-15,CABA,precio nafta super ypf,Precios,11692,1
2023-01-16,Santa Fe,cuanto sube la nafta,Precios,4968,1
2023-01-16,Córdoba,descuento nafta personal pay,Descuentos,9388,1
2023-01-16,Santa Fe,aumento combustible fecha,Precios,4705,1
2023-01-16,Mendoza,precio litro infinia shell,Precios,3616,1
2023-01-16,Buenos Aires,aumento nafta hoy,Precios,5493,1
2023-01-16,Neuquén,aumento combustible fecha,Precios,4059,1
2023-01-16,Buenos Aires,convertir auto a gnc precio,Alternativas,9272,1
2023-01-16,Santa Fe,cuanto sube la nafta,Precios,5849,1
2023-01-16,Córdoba,precio gasoil axion,Precios,6670,1
2023-01-16,Buenos Aires,precio gasoil axion,Precios,8215,1
2023-01-16,Buenos Aires,bbva descuento ypf,Descuentos,10621,1
2023-01-16,CABA,promociones cuenta dni nafta,Descuentos,8115,1
2023-01-16,Buenos Aires,convertir auto a gnc precio,Alternativas,6310,1
2023-01-16,Buenos Aires,precio nafta hoy argentina,Precios,11815,1
2023-01-16,Santa Fe,estacion de servicio con gnc cerca,Estaciones,8178,1
2023-01-16,CABA,bbva descuento ypf,Descuentos,9355,1
2023-01-16,Buenos Aires,precio gasoil axion,Precios,9050,1
2023-01-16,Córdoba,precio litro infinia shell,Precios,4604,1
2023-01-16,Santa Fe,cuanto cuesta llenar el tanque,Precios,4524,1
2023-01-17,Santa Fe,bbva descuento ypf,Descuentos,4907,1
2023-01-17,Buenos Aires,precio nafta super ypf,Precios,9325,1
2023-01-17,Misiones,precio litro infinia shell,Precios,5643,1
2023-01-17,CABA,cuanto gasta un auto por kilometro,Alternativas,9767,1
2023-01-17,Mendoza,descuentos nafta modo,Descuentos,7452,1
2023-01-17,Córdoba,axion energia ubicaciones,Estaciones,4281,1
2023-01-17,Buenos Aires,horarios colectivo urbano,Alternativas,10021,1
2023-01-17,Entre Ríos,descuento nafta personal pay,Descuentos,8446,1
2023-01-17,CABA,cuanto sube la nafta,Precios,10377,1
2023-01-17,Santa Fe,descuento nafta galicia,Descuentos,5404,1
2023-01-17,Buenos Aires,descuento nafta galicia,Descuentos,8266,1
2023-01-17,Mendoza,aplicacion ypf descuentos,Descuentos,8346,1
2023-01-17,Buenos Aires,descuento nafta personal pay,Descuentos,9905,1
2023-01-17,CABA,precio nafta super ypf,Precios,9528,1
2023-01-17,Buenos Aires,banco nacion descuento combustible,Descuentos,8089,1
2023-01-17,Salta,estaciones de servicio mas baratas,Estaciones,4010,1
2023-01-17,Neuquén,descuento nafta personal pay,Descuentos,6641,1
2023-01-18,Buenos Aires,monopatín eléctrico precio,Alternativas,883,0
2023-01-18,Neuquén,cuanto cuesta llenar el tanque,Precios,672,0
2023-01-18,Buenos Aires,promociones cuenta dni nafta,Descuentos,2697,0
2023-01-18,Buenos Aires,estaciones de servicio mas baratas,Estaciones,1218,0
2023-01-18,Entre Ríos,descuentos nafta modo,Descuentos,1932,0
2023-01-19,Córdoba,promociones cuenta dni nafta,Descuentos,2485,0
2023-01-19,Córdoba,puntos serviclub canje,Descuentos,1641,0
2023-01-19,Neuquén,aplicacion ypf descuentos,Descuentos,2055,0
2023-01-19,Buenos Aires,precio nafta super ypf,Precios,2639,0
2023-01-19,Misiones,shell abierta ahora,Estaciones,1155,0
2023-01-20,Buenos Aires,puntos serviclub canje,Descuentos,1882,0
2023-01-20,CABA,ypf cerca de mi,Estaciones,2608,0
2023-01-20,CABA,aumento nafta hoy,Precios,1610,0
2023-01-20,Buenos Aires,descuento nafta galicia,Descuentos,2141,0
2023-01-21,Tucumán,axion energia ubicaciones,Estaciones,1408,0
2023-01-21,Neuquén,tarjeta sube saldo,Alternativas,1382,0
2023-01-22,Córdoba,tarjeta sube saldo,Alternativas,1554,0
2023-01-22,Córdoba,aumento combustible fecha,Precios,2685,0
2023-01-22,CABA,horarios colectivo urbano,Alternativas,1926,0
2023-01-22,CABA,convertir auto a gnc precio,Alternativas,2418,0
2023-01-22,Buenos Aires,cuanto sube la nafta,Precios,1929,0
2023-01-23,Córdoba,shell abierta ahora,Estaciones,2189,0
2023-01-23,Mendoza,horarios colectivo urbano,Alternativas,1668,0
2023-01-24,CABA,cuanto cuesta llenar el tanque,Precios,1636,0
2023-01-24,Buenos Aires,ypf cerca de mi,Estaciones,2396,0
2023-01-25,Santa Fe,shell abierta ahora,Estaciones,2562,0
2023-01-25,Tucumán,monopatín eléctrico precio,Alternativas,2257,0
2023-01-25,Mendoza,axion energia ubicaciones,Estaciones,1352,0
2023-01-25,Santa Fe,monopatín eléctrico precio,Alternativas,2233,0
2023-01-26,Córdoba,shell abierta ahora,Estaciones,1102,0
2023-01-26,CABA,estacion de servicio con gnc cerca,Estaciones,1443,0
2023-01-26,Salta,equipo gnc 5ta generacion precio,Alternativas,637,0
2023-01-27,Tucumán,equipo gnc 5ta generacion precio,Alternativas,1483,0
2023-01-27,Buenos Aires,ypf cerca de mi,Estaciones,888,0
2023-01-27,Córdoba,descuento nafta galicia,Descuentos,1375,0
2023-01-27,Córdoba,puntos serviclub canje,Descuentos,2116,0
2023-01-27,Santa Fe,puntos serviclub canje,Descuentos,1895,0
