id_venta,fecha,id_producto,id_cliente,cantidad,precio_unitario,categoria
VTA-10001,2026-05-01,PROD-ELE-145,CLI-1117,4,152.75,Electrónica
VTA-10002,2026-05-01,PROD-ELE-133,CLI-1207,1,627.64,Electrónica
VTA-10003,2026-05-01,PROD-ROP-118,CLI-1197,3,118.63,Ropa
VTA-10004,2026-05-01,PROD-ELE-149,CLI-1199,1,316.97,Electrónica
VTA-10005,2026-05-01,PROD-ROP-126,CLI-1024,3,53.14,Ropa
VTA-10006,2026-05-01,PROD-DEP-122,CLI-1209,1,250.46,Deportes
VTA-10007,2026-05-02,PROD-DEP-149,CLI-1088,3,253.12,Deportes
VTA-10008,2026-05-02,PROD-ROP-134,CLI-1011,1,15.98,Ropa
VTA-10009,2026-05-02,PROD-HOG-101,CLI-1142,2,18.21,Hogar y Cocina
VTA-10010,2026-05-02,PROD-HOG-106,CLI-1058,2,177.55,Hogar y Cocina
VTA-10011,2026-05-02,PROD-HOG-105,CLI-1153,1,249.93,Hogar y Cocina
VTA-10012,2026-05-02,PROD-ROP-138,CLI-1232,1,110.62,Ropa
VTA-10013,2026-05-02,PROD-HOG-123,CLI-1108,1,195.71,Hogar y Cocina
VTA-10014,2026-05-02,PROD-BEL-137,CLI-1025,1,69.35,Belleza
VTA-10015,2026-05-02,PROD-ROP-119,CLI-1046,2,38.71,Ropa
VTA-10016,2026-05-03,PROD-LIB-114,CLI-1031,1,15.59,Libros
VTA-10017,2026-05-03,PROD-ROP-101,CLI-1009,1,115.04,Ropa
VTA-10018,2026-05-03,PROD-ROP-113,CLI-1015,1,34.38,Ropa
VTA-10019,2026-05-03,PROD-HOG-101,CLI-1198,3,172.85,Hogar y Cocina
VTA-10020,2026-05-03,PROD-HOG-132,CLI-1144,1,26.02,Hogar y Cocina
VTA-10021,2026-05-03,PROD-LIB-131,CLI-1150,1,12.2,Libros
VTA-10022,2026-05-03,PROD-ELE-126,CLI-1025,1,411.08,Electrónica
VTA-10023,2026-05-04,PROD-ROP-103,CLI-1212,1,68.18,Ropa
VTA-10024,2026-05-04,PROD-HOG-112,CLI-1085,3,206.85,Hogar y Cocina
VTA-10025,2026-05-04,PROD-DEP-144,CLI-1249,1,172.67,Deportes
VTA-10026,2026-05-04,PROD-ELE-130,CLI-1134,1,638.66,Electrónica
VTA-10027,2026-05-05,PROD-BEL-117,CLI-1013,2,16.39,Belleza
VTA-10028,2026-05-05,PROD-ROP-147,CLI-1078,2,57.42,Ropa
VTA-10029,2026-05-06,PROD-ROP-137,CLI-1116,1,78.99,Ropa
VTA-10030,2026-05-06,PROD-LIB-102,CLI-1006,2,37.79,Libros
VTA-10031,2026-05-07,PROD-DEP-139,CLI-1136,4,49.55,Deportes
VTA-10032,2026-05-07,PROD-BEL-134,CLI-1114,1,34.8,Belleza
VTA-10033,2026-05-07,PROD-ROP-134,CLI-1175,2,80.76,Ropa
VTA-10034,2026-05-08,PROD-HOG-115,CLI-1071,2,117.81,Hogar y Cocina
VTA-10035,2026-05-08,PROD-HOG-134,CLI-1241,1,96.84,Hogar y Cocina
VTA-10036,2026-05-08,PROD-BEL-138,CLI-1058,1,43.33,Belleza
VTA-10037,2026-05-09,PROD-ELE-115,CLI-1214,1,332.32,Electrónica
VTA-10038,2026-05-09,PROD-ROP-142,CLI-1220,3,105.14,Ropa
VTA-10039,2026-05-09,PROD-ELE-105,CLI-1081,5,642.27,Electrónica
VTA-10040,2026-05-09,PROD-ROP-110,CLI-1222,2,112.07,Ropa
VTA-10041,2026-05-09,PROD-ROP-110,CLI-1221,1,95.04,Ropa
VTA-10042,2026-05-11,PROD-ROP-120,CLI-1115,2,61.59,Ropa
VTA-10043,2026-05-11,PROD-ROP-134,CLI-1166,2,79.05,Ropa
VTA-10044,2026-05-11,PROD-DEP-102,CLI-1226,1,105.34,Deportes
VTA-10045,2026-05-12,PROD-BEL-143,CLI-1145,1,54.27,Belleza
VTA-10046,2026-05-12,PROD-ELE-111,CLI-1186,3,83.79,Electrónica
VTA-10047,2026-05-12,PROD-ELE-123,CLI-1233,1,124.24,Electrónica
VTA-10048,2026-05-13,PROD-HOG-131,CLI-1102,3,109.07,Hogar y Cocina
VTA-10049,2026-05-14,PROD-ROP-116,CLI-1016,1,81.21,Ropa
VTA-10050,2026-05-14,PROD-ROP-140,CLI-1013,1,87.22,Ropa
VTA-10051,2026-05-14,PROD-ROP-125,CLI-1158,1,108.85,Ropa
VTA-10052,2026-05-15,PROD-ROP-103,CLI-1151,1,67.65,Ropa
VTA-10053,2026-05-15,PROD-DEP-132,CLI-1226,4,59.97,Deportes
VTA-10054,2026-05-15,PROD-ELE-119,CLI-1107,1,661.89,Electrónica
