id_candidato,edad,experiencia_anios,salario_esperado,ciudad,seniority,educacion,fecha_postulacion,score_tecnico,remoto,fuente
C0001,31,2,1160000.0,Buenos Aires,Semi Senior,Universitaria,2026-04-25,43,Sí,Universidad
C0002,37,6,1540000.0,Salta,Senior,Bootcamp,2026-05-06,68,Sí,Referido
C0003,37,11,2360000.0,Rosario,Lead,Bootcamp,2026-08-14,95,Sí,LinkedIn
C0004,33,9,2160000.0,Buenos Aires,Lead,Universitaria,2026-01-28,77,Sí,LinkedIn
C0005,33,10,2060000.0,Córdoba,Lead,Universitaria,2026-05-11,60,Sí,Universidad
C0006,22,3,1360000.0,Córdoba,semi senior,Universitaria,2026-03-16,72,Sí,LinkedIn
C0007,36,1,970000.0,Córdoba,Junior,Autodidacta,2026-06-15,72,Sí,Universidad
C0008,27,4,1130000.0,MENDOZA,Semi Senior,Universitaria,2026-07-08,79,No,LinkedIn
C0009,31,5,1340000.0,Buenos Aires,Senior,Autodidacta,2026-03-19,53,Sí,LinkedIn
C0010,34,8,2420000.0,Rosario,Lead,Bootcamp,2026-06-28,80,Sí,Referido
C0011,28,0,790000.0,Córdoba,Junior,Terciaria,31-03-2026,35,Sí,Bootcamp
C0012,39,9,2370000.0,Salta,Lead,Universitaria,2026-06-25,63,Sí,Bootcamp
C0013,34,4,960000.0,Mendoza,Semi Senior,Universitaria,2026-01-21,65,No,LinkedIn
C0014,28,3,1310000.0,Córdoba,semisenior,Universitaria,2026-02-23,81,Sí,Referido
C0015,27,1,750000.0,Córdoba,Junior,Universitaria,2026-07-03,72,No,LinkedIn
C0016,28,0,910000.0,Córdoba,Junior,Terciaria,2026-04-13,,Sí,Referido
C0017,33,7,1650000.0,cordoba,Senior,Autodidacta,2026-08-10,58,Sí,Referido
C0018,38,5,1490000.0,Buenos Aires ,Senior,Terciaria,28-02-2026,75,No,Bootcamp
C0019,29,0,820000.0,Buenos Aires,,Bootcamp,2026-03-13,71,Sí,Bootcamp
C0020,30,0,910000.0,Córdoba, Junior ,Universitaria,2026-06-28,64,Sí,Referido
C0021,33,3,1210000.0,Buenos Aires,Semi Senior,Universitaria,2026-01-20,65,Sí,Referido
C0022,42,10,2330000.0,Córdoba,Lead,Universitaria,2026-04-22,82,No,Universidad
C0023,32,4,1440000.0,Córdoba,Semi Senior,Terciaria,2026-08-12,65,Sí,Universidad
C0024,22,0,720000.0,Buenos Aires,Junior,Autodidacta,2026-08-02,71,No,LinkedIn
C0025,33,4,1390000.0,,Semi Senior,Terciaria,2026-02-28,100,Sí,LinkedIn
C0026,28,4,1210000,Rosario,Semi Senior,Universitaria,2026-03-12,52,No,Referido
C0027,25,0,770000.0,Córdoba,Junior,Universitaria,2026-05-17,46,Sí,LinkedIn
C0028,33,4,1040000.0,Buenos Aires,Semi Senior,Terciaria,2026-04-19,83,No,LinkedIn
C0029,36,4,1180000.0,Buenos Aires,Semi Senior,Universitaria,2026-05-09,62,Sí,LinkedIn
C0030,34,7,1800000.0,Córdoba,Senior,Bootcamp,2026-06-06,68,No,Portal empleo
C0031,38,10,2170000.0,Buenos Aires,Lead,Bootcamp,2026-07-10,61,Sí,LinkedIn
C0032,42,8,2530000.0,Córdoba,Lead,Terciaria,2026-07-19,68,Sí,LinkedIn
C0033,32,99,1030000.0,Córdoba,Semi Senior,Universitaria,2026-02-25,94,Sí,LinkedIn
C0034,38,1,850000.0,Salta,Junior,Universitaria,2026-07-15,83,Sí,Universidad
C0035,42,13,1920000.0,Salta,Lead,Universitaria,2026-02-04,84,Sí,Universidad
C0036,25,5,1710000.0,Mendoza,Senior,Universitaria,2026-05-03,52,No,Referido
C0037,35,5,1800000.0,Córdoba,Senior,Universitaria,2026-05-11,56,No,Referido
C0038,33,4,1150000.0,Córdoba,Semi Senior,Terciaria,2026-04-14,35,Sí,Bootcamp
C0039,37,5,$1.220.000,Rosario,Senior,Terciaria,2026-01-07,61,No,LinkedIn
C0040,34,4,1220000.0,Buenos Aires,Semi Senior,Universitaria,2026-01-27,85,Sí,LinkedIn
C0041,29,3,1250000.0,Córdoba,Semi Senior,Universitaria,2026-01-01,79,Sí,LinkedIn
C0042,25,3,1250000.0,Buenos Aires,Semi Senior,Universitaria,2026-08-07,69,No,LinkedIn
C0043,30,4,1350000,Córdoba,Semi Senior,Universitaria,2026-07-27,72,Sí,Referido
C0044,27,3,1070000.0,Mendoza,Semi Senior,Bootcamp,18/07/2026,62,No,Bootcamp
C0045,27,2,1280000.0,Córdoba,Semi Senior,Universitaria,2026-06-21,75,Sí,Portal empleo
